time,latitude,longitude,u,v,mag,pco2_uatm,ssh,sst,sss,chl
2024-09-01,10.75,-102.75,6.6118927,4.31463623,7.895138433,419.77295,0.21165298,29.264599,33.250084,0.26670912
2024-09-01,10.75,-102.5,5.850860596,5.619445801,8.112381945,424.45767,0.20799236,29.39937,33.636185,0.4377781
2024-09-01,10.75,-102.25,4.960525513,3.216064453,5.911842685,425.35022,0.20654263,29.386244,33.42315,0.47218582
2024-09-01,10.75,-102.0,-2.594909668,0.228912354,2.604986958,440.3168,0.13354126,28.550291,33.791092,0.2764737
2024-09-01,10.75,-101.75,1.088256836,2.314880371,2.557923782,435.9813,0.19832034,28.609442,33.376453,0.3390651
2024-09-01,10.75,-101.5,6.056442261,-2.211044312,6.447418848,443.14313,0.1254889,28.189459,33.757973,0.34844148
2024-09-01,10.75,-101.25,4.090270996,3.611846924,5.456716506,434.5366,0.15045,29.692236,33.525913,0.33244592
2024-09-01,10.75,-101.0,4.905975342,-4.514373779,6.666945678,456.41473,0.16816346,29.167717,33.544415,0.37448078
2024-09-01,10.75,-100.75,4.009933472,1.371032715,4.237841096,435.88135,0.15656862,29.436087,33.381836,0.3217334
2024-09-01,10.75,-100.5,1.103469849,0.665130615,1.288427119,451.46954,0.15844844,29.280628,33.48105,0.320194
2024-09-01,10.75,-100.25,-0.849273682,2.581039429,2.717173222,435.1013,0.14833656,29.072567,33.339005,0.31522408
2024-09-01,10.75,-100.0,0.833496094,-2.193313599,2.346346155,462.44366,0.17631689,30.194178,33.125336,0.33638066
2024-09-01,10.75,-99.75,-4.160644531,0.137023926,4.162900248,459.04507,0.21890302,29.886547,33.35752,0.3384936
2024-09-01,10.75,-99.5,-3.243606567,1.025878906,3.401971648,437.12097,0.18341577,29.869003,33.173965,0.32774314
2024-09-01,10.75,-99.25,2.536499023,0.53086853,2.591456867,436.61496,0.18284677,29.233448,33.15463,0.34722465
2024-09-01,10.75,-99.0,0.698654175,0.621276855,0.934934536,390.1251,0.20423427,29.621967,33.37189,0.3465838
2024-09-01,10.75,-98.75,3.842422485,3.722198486,5.349670282,388.242,0.19509262,30.041685,32.925568,0.21612348
2024-09-01,10.75,-98.5,0.030181885,3.728057861,3.728180034,374.65103,0.22466175,29.763128,32.98918,0.38213184
2024-09-01,10.75,-98.25,3.096557617,-0.379516602,3.119727861,386.94928,0.2000113,30.49703,33.059937,0.14664681
2024-09-01,10.75,-98.0,4.778244019,1.786453247,5.101277399,385.85437,0.18174061,30.33654,32.726746,0.1530284
2024-09-01,10.75,-97.75,7.314880371,4.374099731,8.522923401,384.29993,0.20954235,30.305637,32.64594,0.15595958
2024-09-01,10.75,-97.5,4.231613159,2.718460083,5.029570076,387.51035,0.21569148,30.390257,32.578957,0.17060289
2024-09-01,10.75,-97.25,4.829360962,-1.310150146,5.003920534,391.66272,0.1634865,30.04911,32.923588,0.14830986
2024-09-01,10.75,-97.0,3.704452515,2.039398193,4.228724799,396.09967,0.1818102,30.434069,32.466354,0.14538868
2024-09-01,10.75,-96.75,-0.947235107,1.391098022,1.682975953,383.34412,0.18352045,30.608078,32.949516,0.2879415
2024-09-01,10.75,-96.5,-2.375793457,1.677825928,2.908520998,371.05396,0.154213,30.12378,33.04748,0.18752858
2024-09-01,10.75,-96.25,4.297119141,0.444763184,4.320074907,391.1533,0.14163078,29.919495,33.17305,0.17009185
2024-09-01,10.75,-96.0,2.008499146,-1.336013794,2.412260698,395.2808,0.16284558,30.97313,32.984055,0.3735244
2024-09-01,10.75,-95.75,4.598510742,2.524276733,5.245786316,397.65256,0.16282977,30.186241,32.95718,0.40796643
2024-09-01,10.75,-95.5,-1.475448608,0.296615601,1.504968242,404.20456,0.113777146,30.188555,33.14885,0.18863463
2024-09-01,10.75,-95.25,6.411621094,0.672103882,6.446751793,408.8423,0.14456774,30.477343,33.27361,0.2965396
2024-09-01,10.75,-95.0,-3.335708618,-0.455764771,3.366700686,411.46472,0.14851606,30.093624,33.657375,0.34306902
2024-09-01,10.75,-94.75,5.483093262,-0.838485718,5.546834234,422.00012,0.17248067,30.049936,33.07444,0.30565694
